,words,frequencies
0,foodpandits,20
1,Special,1
2,Abled,1
3,Girl,1
4,Child,1
5,Priyanka,1
6,Ka,1
7,New,2
8,Setup.,1
9,Location,3
10,Near,1
11,J&K,1
12,Bank,1
13,Shastri,1
14,Nagar,1
15,Jammu.,2
16,reels,8
17,streetfood,8
18,viral,5
19,womanpower,2
20,woman,2
21,instagood,5
22,instagram,4
23,daily,3
24,superwoman,2
25,streetfoodindia,3
26,foodblogger,10
27,indianblogger,3
28,jammublogger,3
29,specialchild,1
30,tasty,3
31,delicious,5
32,jammufood,3
33,food,37
34,reelsviral,2
35,reelskarofeelkaro,2
36,insta,4
37,instafood,14
38,foodreels,10
39,foodstagram,6
40,Edited,16
41,·,16
42,17,1
43,w,38
44,Super,7
45,Woman,1
46,Selling,2
47,Tasty,1
48,Streetfood.,2
49,7,1
50,phase,1
51,Mohali.,1
52,mohali,1
53,chandigarh,1
54,chandigarhblogger,1
55,25,1
56,Two,1
57,Brothers,1
58,Both,1
59,Deaf,1
60,and,38
61,Mute,1
62,Kunjwani,1
63,Chowk,1
64,outside,1
65,Indian,1
66,Oil,1
67,Petrol,1
68,pump,1
69,hardwork,1
70,hardworking,1
71,brothers,1
72,vocalforlocal,1
73,help,1
74,buylocal,1
75,indianfood,6
76,desikhana,1
77,desifood,2
78,trending,4
79,28,1
80,Viral,1
81,Couple,1
82,of,28
83,Pathankot,1
84,❤️,5
85,indianstreetfood,7
86,foodblogs,5
87,couple,1
88,couplegoals,1
89,couplereels,1
90,foodcouple,1
91,foodlover,2
92,viralcouple,1
93,pathankotcouple,1
94,8,1
95,h,4
96,Baksay,1
97,Wale,1
98,Khaste,1
99,😜,1
100,lucknowfood,1
101,viralfood,1
102,viralvideos,2
103,bornoninstagram,2
104,jammustreetfood,1
105,foodies,3
106,15,1
107,Rajasthani,1
108,Ghar,1
109,ka,1
110,Nashta,1
111,foodie,14
112,nashta,1
113,gharkakhana,1
114,rajasthan,1
115,sweet,1
116,reel,3
117,foodporn,12
118,reelsinstagram,1
119,indianfood_lovers,1
120,homefood,1
121,foodphotography,9
122,healthyfood,1
123,20,1
124,Veg,1
125,Kebab,1
126,Parantha,1
127,Location-,1
128,Bhola,1
129,Shush,1
130,Shakahari,1
131,Varanasi.,1
132,reelsinsta,1
133,viralreels,2
134,reelitfeelit❤️❤️,1
135,reekarofeelkaro♥️💯✌️,1
136,reelavirapost,1
137,instadaily,2
138,strretfoodindia,1
139,kebab,1
140,1,7
141,d,8
142,Bathure,1
143,☺️,1
144,bathure,1
145,chole,1
146,cholebathure,1
147,World’s,1
148,Smallest,1
149,Samose😍,1
150,unique,2
151,taste,1
152,india,1
153,foodstyling,1
154,instalike,1
155,instalove,1
156,reelsvideo,3
157,trendingreels,4
158,samosa,1
159,Soya,1
160,Chunks,1
161,Sabzi,1
162,Making,2
163,lucknowblogger,1
164,2,10
165,Sanders,1
166,Lombardi,1
167,Marino,1
168,Namath,1
169,everyone,2
170,knows,1
171,these,2
172,legendary,2
173,Hall,3
174,Famers’,1
175,but,4
176,now,3
177,it’s,1
178,time,3
179,for,17
180,to,28
181,make,1
182,way,1
183,some,2
184,new,4
185,legends.,1
186,For,1
187,the,32
188,past,1
189,13,1
190,years,1
191,has,6
192,announced,3
193,most,7
194,popular,2
195,items,1
196,with,14
197,their,7
198,“Customer,1
199,Choice,1
200,Awards,1
201,”,3
202,this,10
203,year,1
204,they’re,1
205,changing,1
206,things,3
207,up,3
208,a,27
209,bit,1
210,give,1
211,multi-year,1
212,winning,1
213,products,2
214,recognition,1
215,they,1
216,deserve,1
217,share,2
218,spotlight,1
219,ones.,1
220,The,11
221,“Trader,1
222,Joe’s,2
223,Product,1
224,Fame”,1
225,inducted,2
226,its,1
227,first,2
228,class,2
229,honorees,1
230,each,1
231,at,8
232,least,1
233,five-time,1
234,winner,1
235,respective,1
236,categories,1
237,🏆,1
238,What,1
239,do,1
240,you,2
241,think,1
242,list,1
243,Which,2
244,Trader,1
245,should,1
246,be,6
247,into,3
248,Fame,1
249,next,3
250,traderjoes,1
251,traderjoesfinds,1
252,traderjoesvegan,1
253,traderjoesrecipes,1
254,traderjoesobsessed,1
255,traderjoesfoodreviews,1
256,halloffame,1
257,HallOfFamers,1
258,productreviews,1
259,foodreviews,1
260,grocery,1
261,groceryhaul,1
262,grocerystore,1
263,groceryshopping,1
264,grocerylist,1
265,Attribution,1
266,Image,1
267,by,8
268,Upl56,1
269,on,7
270,Freepik,1
271,6,2
272,is,13
273,taking,2
274,level.,1
275,They,1
276,burger,3
277,chain,1
278,just,2
279,White,5
280,Truffle,5
281,Menu,1
282,made,2
283,organic,1
284,white,3
285,truffle,2
286,oil.,1
287,menu,4
288,features,1
289,Burger,4
290,‘Shroom,1
291,&,2
292,Parmesan,1
293,Fries,1
294,Sauce,1
295,🍄🍔🍟.,1
296,Known,1
297,as,6
298,“the,1
299,king,1
300,mushroom,1
301,kingdom,1
302,truffles,4
303,are,7
304,very,2
305,rare.,1
306,This,2
307,ingredient,1
308,grows,1
309,in,14
310,limited,1
311,climates,1
312,off,1
313,roots,1
314,specific,1
315,tree,1
316,species,1
317,cannot,1
318,cultivated,1
319,which,2
320,explains,1
321,why,1
322,almost,1
323,four,1
324,times,2
325,more,9
326,expensive,3
327,than,1
328,black,1
329,generally,1
330,only,2
331,found,1
332,fine-dining,1
333,restaurants…until,1
334,now.,1
335,Shake,1
336,Shack’s,1
337,will,4
338,available,1
339,nationwide,1
340,Friday,1
341,February,2
342,10,2
343,early,1
344,access,1
345,2/8,1
346,app,1
347,users.,1
348,Just,1
349,classy,1
350,Bowl,1
351,Party,1
352,or,1
353,romantic,1
354,“classy,1
355,casual,1
356,Valentine’s,2
357,Day,3
358,date.,1
359,shakeshack,1
360,shakeshackburger,1
361,burgers,4
362,burgersbae,1
363,burgersandfries,1
364,burgersofinstagram,1
365,fries,1
366,trufflefries,1
367,superbowl,1
368,valentines,2
369,finedining,1
370,might,1
371,hottest,1
372,thing,2
373,hit,1
374,Lincoln,1
375,Center,1
376,🔥,1
377,(no,1
378,offense,1
